date,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
03/04/2020,0,0,0,0,2,53,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,39,1,0,0
03/05/2020,0,0,0,0,2,53,0,0,0,0,9,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,22,0,0,3,0,0,0,0,0,1,1,0,0,0,0,70,1,0,0
03/06/2020,0,0,0,0,3,60,2,0,0,0,9,2,0,0,0,0,5,1,0,0,0,8,3,0,0,0,0,0,0,0,2,0,0,2,1,0,1,33,0,0,3,2,0,0,0,0,1,5,0,0,0,0,79,1,0,0
03/07/2020,0,0,0,0,5,69,8,0,0,0,14,6,0,1,0,0,6,1,0,1,0,13,3,0,0,1,0,0,0,0,2,0,1,2,4,0,1,76,0,1,7,2,0,2,2,0,1,8,1,0,0,0,102,1,0,0
03/08/2020,0,0,0,0,5,88,8,1,1,0,17,7,0,1,0,0,6,2,1,1,0,13,3,0,0,1,1,0,0,0,2,0,1,4,6,0,1,105,0,1,14,4,0,3,2,0,3,8,1,2,0,1,102,1,0,0
03/09/2020,0,0,0,0,5,114,9,1,1,0,18,12,0,2,3,0,7,2,1,4,1,41,5,0,0,2,1,0,0,0,2,0,3,4,11,0,1,142,3,1,14,7,0,3,7,0,3,12,1,3,0,1,136,1,0,0
03/10/2020,0,0,0,0,6,133,12,2,5,0,19,17,0,2,8,0,19,6,1,6,1,92,6,0,0,3,1,0,0,0,7,0,3,4,15,0,0,173,3,2,15,12,0,3,7,0,7,13,2,8,0,1,162,2,0,0
03/11/2020,0,0,0,0,9,157,28,3,4,1,28,22,0,2,13,0,19,10,1,8,6,92,9,0,2,5,1,0,0,0,7,0,5,4,24,3,5,216,4,2,19,15,0,5,9,5,7,21,2,9,0,1,267,3,0,0
03/12/2020,0,0,6,0,9,202,45,6,10,4,32,31,0,2,14,0,25,12,4,8,14,95,12,1,2,9,1,0,1,1,12,1,10,6,30,5,7,216,5,3,19,22,0,5,10,8,18,23,4,17,0,2,337,8,0,1
03/13/2020,1,1,9,0,9,202,72,6,10,4,50,42,0,2,16,0,32,12,6,11,36,123,17,3,16,14,2,0,4,1,15,1,13,6,50,10,11,421,13,3,30,33,0,14,12,9,26,39,6,30,0,2,457,19,0,1
